,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
10,1975,Chainlink,LINK,chainlink,1478,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,11,,,,2023-12-03T12:09:00.000Z,15.970942655693793,604599823.0622753,-0.2742,-0.57103554,2.02778326,5.19263488,45.54066424,111.3028983,162.84173679,8893418945.926239,0.5998,15970942655.69,,2023-12-03T12:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-12-03 17:42:09.751908
11,11419,Toncoin,TON,toncoin,175,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,12,3414166606.0,8235103053.594612,,2023-12-03T12:10:00.000Z,2.4120390138906456,33814391.68787909,2.7257,-0.69282525,0.36181687,1.75823485,10.27620692,20.50284931,27.66660966,8277857606.802053,0.5582,12174908094.43,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
12,5805,Avalanche,AVAX,avalanche,574,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,365178204.96178705,433211114.96178705,False,,13,,,,2023-12-03T12:09:00.000Z,21.97956149651922,343587727.94041663,-10.3082,-0.44804196,-0.01617313,4.38772775,88.64480654,125.65717443,122.38163851,8026456813.146099,0.5412,15825284277.49,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
13,3890,Polygon,MATIC,polygon,1119,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9275203002.204464,10000000000.0,False,,14,,,,2023-12-03T12:09:00.000Z,0.809069062284446,448149669.84935725,5.3304,-0.35536677,0.01597106,4.40992616,23.9077217,38.32338279,49.32986185,7504279795.491444,0.5061,8090690622.84,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
14,6636,Polkadot,DOT,polkadot-new,630,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1251838139.3053386,1384098641.0136902,True,,15,,,,2023-12-03T12:09:00.000Z,5.500170001932089,133043453.1123146,11.7153,-0.32411777,-0.46463741,2.98589013,21.8473363,36.16292685,28.87875715,6885322581.081707,0.4643,7612777825.02,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
0,1,Bitcoin,BTC,bitcoin,10594,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19559731.0,19559731.0,False,,1,,,,2023-12-03T12:12:00.000Z,39459.20518595339,15862020668.619421,2.4065,-0.1360184,1.81602845,4.80753583,15.45068477,43.24809242,52.4951562,771811438911.0532,52.0534,828643308905.02,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
1,1027,Ethereum,ETH,ethereum,7947,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120234245.26881394,120234245.26881394,True,,2,,,,2023-12-03T12:12:00.000Z,2156.664593255205,9787513121.786541,37.1856,-0.400872,2.71651793,3.52407196,20.74028693,31.09362343,32.20581246,259304939668.01318,17.4865,259304939668.01,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
2,825,Tether USDt,USDT,tether,67216,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89596999295.46779,92609951832.05023,True,,3,,,,2023-12-03T12:11:00.000Z,1.0002611373090333,33299865658.34904,19.0292,-0.00493918,-0.00928169,-0.01396336,-0.00174527,0.02281398,0.06170715,89620396414.76126,6.0439,92634135745.66,,2023-12-03T12:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-03 17:42:40.707426
3,1839,BNB,BNB,bnb,1810,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151698353.83089778,151698353.83089778,False,,4,,,,2023-12-03T12:11:00.000Z,227.9726708245164,666559933.6689245,16.7027,-0.41906018,0.31473673,-2.40501913,0.37977661,7.27703617,6.72389993,34583078882.512276,2.3322,34583078882.51,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
4,52,XRP,XRP,xrp,1162,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53888571585.0,99988188647.0,False,,5,,,,2023-12-03T12:12:00.000Z,0.626602472253868,910966626.5440127,32.019,-0.18211177,2.12779979,-0.97977313,4.05310679,17.53370582,24.95933121,33766712181.39054,2.2772,62660247225.39,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
5,5426,Solana,SOL,solana,557,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,424333490.3850296,564017878.6739423,True,,6,,,,2023-12-03T12:12:00.000Z,63.38466895759296,1459802495.7675097,15.3147,-0.35996658,2.05571018,9.77018697,62.73209832,169.53245838,224.13994284,26896237815.675056,1.814,35750086525.91,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
6,3408,USDC,USDC,usd-coin,15237,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24520967232.444027,24520967232.444027,False,,7,,,,2023-12-03T12:12:00.000Z,0.9996902228124429,3725802095.9857774,4.5807,-0.01147572,-0.02550616,-0.01505726,-0.05192969,-0.03067645,-0.03442143,24513371196.17858,1.6533,24513371196.18,,2023-12-03T12:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-12-03 17:42:40.707426
7,2010,Cardano,ADA,cardano,989,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35307944353.715,36410042820.425,False,,8,,,,2023-12-03T12:11:00.000Z,0.3933271430712031,308785829.87256134,45.1426,-0.4117483,1.06217305,0.61778869,23.8057331,53.35736167,53.92370263,13887572880.363735,0.9366,17699721438.2,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
8,74,Dogecoin,DOGE,dogecoin,836,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142081826383.7052,142081826383.7052,True,,9,,,,2023-12-03T12:12:00.000Z,0.08477570057113462,549516705.1724638,48.6989,-0.27349527,1.03159853,8.95358318,26.38176377,38.81608558,34.28175949,12045086370.104927,0.8124,12045086370.1,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
9,1958,TRON,TRX,tron,882,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88522077487.95638,88522119635.4479,True,,10,71659659264.0,7401617589.812994,,2023-12-03T12:11:00.000Z,0.10328848428576577,188978284.9220847,4.748,-0.07840979,0.35995998,-4.51651531,5.71800961,16.36857127,34.44853875,9143311209.558123,0.6166,9143315562.91,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
10,1975,Chainlink,LINK,chainlink,1478,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,11,,,,2023-12-03T12:11:00.000Z,15.972156787222213,604551071.8409096,-0.2458,-0.56473944,2.11655881,5.328182,45.61735825,111.25515596,162.77882855,8894095035.031965,0.5998,15972156787.22,,2023-12-03T12:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-12-03 17:42:40.707426
11,11419,Toncoin,TON,toncoin,175,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,12,3414166606.0,8233653191.741668,,2023-12-03T12:12:00.000Z,2.411614353345259,33767584.5015375,2.5063,-0.70029624,0.34337635,1.74702407,10.26393683,20.48546734,27.63727914,8276400217.636416,0.5582,12172764595.48,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:42:40.707426
12,5805,Avalanche,AVAX,avalanche,574,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,365180769.04855895,433213679.04855895,False,,13,,,,2023-12-03T12:11:00.000Z,21.967540608703718,343449625.0267098,-10.3827,-0.40524582,-0.04518082,4.41275904,88.62348825,125.48250934,122.31039059,8022123373.591872,0.541,15816629238.27,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
13,3890,Polygon,MATIC,polygon,1119,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9275203002.204464,10000000000.0,False,,14,,,,2023-12-03T12:11:00.000Z,0.8093284929638537,447939810.5332893,5.3351,-0.30524347,0.10111224,4.48081733,23.95926825,38.43147704,49.39027541,7506686067.70795,0.5062,8093284929.64,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
14,6636,Polkadot,DOT,polkadot-new,630,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1251843942.6252005,1384104444.3335521,True,,15,,,,2023-12-03T12:11:00.000Z,5.4992609902382235,133086640.71787779,11.9603,-0.33229728,-0.47727968,2.99988869,21.87823093,36.22130291,28.9129248,6884216559.544782,0.4643,7611551577.14,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:42:40.707426
0,1,Bitcoin,BTC,bitcoin,10594,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19559731.0,19559731.0,False,,1,,,,2023-12-03T12:12:00.000Z,39459.20518595339,15862020668.619421,2.4065,-0.1360184,1.81602845,4.80753583,15.45068477,43.24809242,52.4951562,771811438911.0532,52.0534,828643308905.02,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:43:11.660526
1,1027,Ethereum,ETH,ethereum,7947,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120234245.26881394,120234245.26881394,True,,2,,,,2023-12-03T12:12:00.000Z,2156.664593255205,9787513121.786541,37.1856,-0.400872,2.71651793,3.52407196,20.74028693,31.09362343,32.20581246,259304939668.01318,17.4865,259304939668.01,,2023-12-03T12:12:00.000Z,,,,,,2023-12-03 17:43:11.660526
2,825,Tether USDt,USDT,tether,67216,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89596999295.46779,92609951832.05023,True,,3,,,,2023-12-03T12:11:00.000Z,1.0002611373090333,33299865658.34904,19.0292,-0.00493918,-0.00928169,-0.01396336,-0.00174527,0.02281398,0.06170715,89620396414.76126,6.0439,92634135745.66,,2023-12-03T12:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-03 17:43:11.660526
3,1839,BNB,BNB,bnb,1810,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151698353.83089778,151698353.83089778,False,,4,,,,2023-12-03T12:11:00.000Z,227.9726708245164,666559933.6689245,16.7027,-0.41906018,0.31473673,-2.40501913,0.37977661,7.27703617,6.72389993,34583078882.512276,2.3322,34583078882.51,,2023-12-03T12:11:00.000Z,,,,,,2023-12-03 17:43:11.660526
